elevation,vegetation
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.32)","(0.1, 0.24)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.26)","(0.1, 0.22)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.2)","(0.1, 0.2)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
"(0.1, 0.38)","(0.1, 0.26)"
