,name,coords,elevation,vegetation
0,p3rdt1052-p3rhs0_1247x,"(-121.83008106515783, 37.82193514814578)",457.1136779785156,4.0
1,p3rdt0lv,"(-121.75182361563083, 37.75826085263486)",215.70339965820312,0.0
2,p3rlv1,"(-121.75171639676097, 37.756639098570766)",208.11582946777344,0.0
3,p3rdt1lv,"(-121.75216710294697, 37.75585356904483)",206.07435607910156,0.0
4,p3rdt1lv-p3rlv2x,"(-121.75211517793613, 37.75582915080872)",205.7941131591797,0.0
5,p3rlv2,"(-121.75183529176881, 37.75587710853132)",205.80686950683594,0.0
6,p3rlv7,"(-121.75241563683048, 37.755793126780674)",206.16725158691406,0.0
7,p3rdt2lv,"(-121.75298968344377, 37.75585044634894)",206.5074920654297,0.0
8,p3rlv3,"(-121.75316531742187, 37.75576501038746)",206.96546936035156,0.0
9,p3rlv4,"(-121.75331316504268, 37.75574854915757)",207.58494567871094,0.0
10,p3rlv5,"(-121.75271284546278, 37.75567009468505)",206.0488739013672,0.0
11,p3rlv6,"(-121.7529511872951, 37.75567261718589)",206.3441619873047,0.0
12,p3rlv8,"(-121.75282331828208, 37.75652747375437)",208.61349487304688,0.0
13,p3rdt3lv,"(-121.76343273866286, 37.74449301789823)",172.2086181640625,0.0
14,p3rlv9,"(-121.76287584680912, 37.74456536341215)",172.04124450683594,0.0
15,p3rlv25,"(-121.76236428830858, 37.74461406890718)",171.79798889160156,0.0
16,p3rlv145,"(-121.76277804193472, 37.7445401313448)",172.1756591796875,0.0
17,p3rdm10,"(-121.76335665983105, 37.74431805233423)",171.6922149658203,0.0
18,p3rlv140,"(-121.76259634917497, 37.74431007183553)",171.5435028076172,0.0
19,p3rlv141,"(-121.76227785707647, 37.74435179116925)",171.36520385742188,0.0
20,p3rlv153,"(-121.761926521876, 37.74432106253821)",171.26206970214844,0.0
21,p3rdt4lv,"(-121.76754421221143, 37.75301133362253)",183.59521484375,0.0
22,p3rlv10,"(-121.76752359702616, 37.75312210397572)",183.99961853027344,0.0
23,p3rlv12,"(-121.76780822593247, 37.7530710039365)",183.6971435546875,0.0
24,p3rlv14,"(-121.767297658003, 37.75305665149274)",184.1573028564453,0.0
25,p3rlv271,"(-121.76779254222568, 37.753332209752216)",184.37429809570312,0.0
26,p3rdt6lv,"(-121.76994882138217, 37.7459553589963)",177.83554077148438,0.0
27,p3rlv13,"(-121.76872184717703, 37.74588837229878)",176.79281616210938,0.0
28,p3rdm20,"(-121.76989788205924, 37.746153010745154)",178.19703674316406,0.0
29,p3rlv17,"(-121.76893328269689, 37.74614293851166)",177.33340454101562,0.0
30,p3rlv28,"(-121.7686728708144, 37.74610416691515)",177.18402099609375,0.0
31,p3rdt10lv,"(-121.76870896618014, 37.74650499475417)",177.3296661376953,0.0
32,p3rlv19,"(-121.7687590056043, 37.74651963856283)",177.3296661376953,0.0
33,p3rdt11lv,"(-121.76842406671874, 37.745889149934634)",176.95973205566406,0.0
34,p3rlv20,"(-121.76838221042232, 37.74586292388791)",176.95973205566406,0.0
35,p3rdt12lv,"(-121.76327457778301, 37.74450339415364)",171.81549072265625,0.0
36,p3rlv21,"(-121.763713647046, 37.74469132092038)",172.8782501220703,0.0
37,p3rdt16lv,"(-121.7675374972189, 37.75273186807372)",182.76055908203125,0.0
38,p3rlv27,"(-121.76730378837185, 37.75268719278431)",183.257080078125,0.0
39,p3rdt35lv,"(-121.79090324721336, 37.72800849155845)",199.52476501464844,0.0
40,p3rlv63,"(-121.79084761224408, 37.72818199715984)",201.64471435546875,0.0
41,p3rlv65,"(-121.7908968042994, 37.72794816875927)",199.44041442871094,0.0
42,p3rlv68,"(-121.79061908853718, 37.728278793555106)",203.4327850341797,0.0
43,p3rdm70,"(-121.79058030171, 37.72787281922)",197.18521118164062,0.0
44,p3rlv70,"(-121.79060445839478, 37.727782938993755)",197.20492553710938,0.0
45,p3rdm72,"(-121.7910758423505, 37.728103222921426)",200.62757873535156,0.0
46,p3rlv73,"(-121.79091583223021, 37.7281736841546)",201.64471435546875,0.0
47,p3rlv74,"(-121.79115540780651, 37.72809502613959)",201.1662139892578,0.0
48,p3rdm71,"(-121.7914912345935, 37.72837786686941)",204.707763671875,0.0
49,p3rlv71,"(-121.79172107538652, 37.72819996700017)",203.6558074951172,0.0
50,p3rdt36lv,"(-121.79162189405089, 37.72847551437501)",205.47262573242188,0.0
51,p3rlv64,"(-121.79159173416814, 37.72847803812965)",205.47262573242188,0.0
52,p3rdt37lv,"(-121.79040785433723, 37.72776907584361)",196.4091033935547,0.0
53,p3rlv66,"(-121.789995667733, 37.7282363442092)",202.07826232910156,8.0
54,p3rdm76,"(-121.79024242820994, 37.72771613422256)",196.01344299316406,0.0
55,p3rlv69,"(-121.79025230766275, 37.7278063637021)",196.00897216796875,0.0
56,p3rdt38lv,"(-121.7918832597003, 37.72992696487548)",223.1807403564453,0.0
57,p3rlv67,"(-121.79193329288826, 37.72994159877032)",223.1807403564453,0.0
