EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
627496,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/13/2015,0,Strong Wind,43.00, ,0,0,5000,0,CA,PST-8,EG,101228,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,12/13/2015,2359, , , , ,"A large eucalyptus tree was blown down in the city of San Pablo, damaging a home and a car.","On Sunday, December 13, a cold front swept across the San Francisco Bay Area and Santa Cruz County. Strong winds were observed in the San Francisco Bay Area and Santa Cruz county as the cold front swept through during the late morning hours. Several large trees were blown down, some onto homes and automobiles.",1
627497,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/13/2015,0,Strong Wind,43.00, ,0,0,3000,0,CA,PST-8,EG,101228,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,12/13/2015,2359, , , , ,"A tree was blown over onto three vehicles  in front of the Woodland Park Apartments in East Palo Alto.","On Sunday, December 13, a cold front swept across the San Francisco Bay Area and Santa Cruz County. Strong winds were observed in the San Francisco Bay Area and Santa Cruz county as the cold front swept through during the late morning hours. Several large trees were blown down, some onto homes and automobiles.",2
627498,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/13/2015,0,Strong Wind,43.00, ,0,0,5000,0,CA,PST-8,EG,101228,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,12/13/2015,2359, , , , ,"A tree was blown over onto a van in Hayward, CA.","On Sunday, December 13, a cold front swept across the San Francisco Bay Area and Santa Cruz County. Strong winds were observed in the San Francisco Bay Area and Santa Cruz county as the cold front swept through during the late morning hours. Several large trees were blown down, some onto homes and automobiles.",3
608014,ALAMEDA CO.,ALBANY,01/06/2016,800,Flood, , ,0,0,0,0,CA,PST-8, ,101646,C,1,MTR,0,0,911 Call Center,Heavy Rain, , ,5,NNW,5,NNW,ALBANY,01/06/2016,830,37.9665,-122.3225,37.9662,-122.323,"CHP reported that I-80 East at El Portal Drive was flooded. The HOV lane was flooded and water was flowing across all lanes.","A strong Pacific storm swept through the San Francisco Bay Area and Monterey Bay Area on Wednesday, January 6. This storm produced heavy rain, minor flooding, damaging winds, a funnel cloud, and one confirmed tornado.",4
663598,SAN FRANCISCO BAY SHORELINE (ZONE), ,10/24/2016,1400,Strong Wind,30.00, ,0,0,1000000,0,CA,PST-8,EG,111216,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,10/24/2016,1400, , , , ,"An 80-foot elm tree, three feet in diameter, was blown down in Berkeley and landed on an apartment building on College Avenue near Alcatraz Ave. No one was hurt and there was minimal structural damage.","Moderately strong winds bring down a large elm tree onto an apartment building in Berkeley, California.",5
671881,ALAMEDA CO.,EMERYVILLE,12/15/2016,1400,Flood, , ,0,0,0,0,CA,PST-8, ,112564,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,SSE,2,SSE,EMERYVILLE,12/15/2016,1500,37.8277,-122.2713,37.8228,-122.272,"One foot of water at ramp of I-580 and SR 24 intersection.","A slow moving cold front moved through the San Francisco Bay Area and Monterey Bay Area on Thursday, December 15, 2016. The front moved through the area slowly, producing moderate to locally heavy rain for several hours which resulted in nuerous reports of flooding, especially for the Northern San Francisco Bay Area.  Also, this storm system produced locally strong winds with gusts greater than 50 mph. These winds brough down drought-stressed trees which damaged power lines and cares.",6
671864,ALAMEDA CO.,NILES,01/03/2017,547,Debris Flow, , ,0,0,0,0,CA,PST-8, ,112592,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,N,1,N,NILES,01/03/2017,647,37.6005,-121.9485,37.5972,-121.9471,"State route 84 and Palomares Road. Mud and rocks blocking east bound side.","The first in a series of three atmospheric river events between January 2 and January 10. Strong winds, flooding, and debris flows occurred throughout this event. Snow was also recorded at higher elevations.",7
671869,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,01/03/2017,817,Strong Wind,45.00, ,0,0,1000,0,CA,PST-8,MG,112592,Z,511,MTR,0,0,Mesonet, , , , , , , , ,01/03/2017,822, , , , ,"Las trampas raws. Elevation 1760 feet.","The first in a series of three atmospheric river events between January 2 and January 10. Strong winds, flooding, and debris flows occurred throughout this event. Snow was also recorded at higher elevations.",8
671484,EAST BAY INTERIOR VALLEYS (ZONE), ,01/07/2017,700,High Wind,50.00, ,1,0,0,0,CA,PST-8,EG,111471,Z,510,MTR,0,0,Broadcast Media, , , , , , , , ,01/07/2017,800, , , , ,"Tree fell on woman in high wind. Woman died at scene.|Http://www.sfchronicle.com/bayarea/article/Woman-killed-by-falling-tree-on-stormy-San-Ramon-10842553.php.","Potent atmospheric river bringing heavy rain, strong southerly winds, and storm surge issues. This AR is following a normal to slightly above normal 3 month period, meaning the grounds were saturated.",9
683608,ALAMEDA CO.,CURTNER,01/07/2017,730,Flood, , ,0,0,0,0,CA,PST-8, ,111471,C,1,MTR,0,0,Newspaper,Heavy Rain, , ,0,WSW,0,WSW,CURTNER,01/07/2017,830,37.4784,-121.9337,37.4785,-121.9335,"Localized flooding and intermittent heavy rains on Highway 880 at Mission Blvd exit caused fatal crash taking life of female driver.","Potent atmospheric river bringing heavy rain, strong southerly winds, and storm surge issues. This AR is following a normal to slightly above normal 3 month period, meaning the grounds were saturated.",10
682533,ALAMEDA CO.,DECOTO,01/10/2017,2045,Flash Flood, , ,0,0,0,0,CA,PST-8, ,112992,C,1,MTR,0,0,River/Stream Gage,Heavy Rain, , ,1,ESE,1,NNE,NILES DISTRICT,01/11/2017,530,37.5949,-121.966,37.5882,-121.9734,"Heavy rain caused the Alameda Creek to flood.  The stream gauge on Alameda Creek near Niles to rise above flood stage between 8:45 pm PST on January 10 and 5:30 am PST on January 11.","The third and final system in a string of Atmospheric River events between January 2 to 11. This system resulted in widespread roadway flooding and debris flows across the CWA.",11
