,2023-01-05 11:00:00,2023-01-05 12:00:00
0,22.0,13.0
1,16.6,9.4
2,16.6,9.4
3,16.6,9.4
4,16.6,9.4
5,16.6,9.4
6,16.6,9.4
7,16.6,9.4
8,16.6,9.4
9,16.6,9.4
10,16.6,9.4
11,16.6,9.4
12,16.6,9.4
13,16.6,9.4
14,16.6,9.4
15,16.6,9.4
16,16.6,9.4
17,16.6,9.4
18,16.6,9.4
19,16.6,9.4
20,16.6,9.4
21,16.6,9.4
22,16.6,9.4
23,16.6,9.4
24,16.6,9.4
25,16.6,9.4
26,16.6,9.4
27,16.6,9.4
28,16.6,9.4
29,16.6,9.4
30,16.6,9.4
31,16.6,9.4
32,16.6,9.4
33,16.6,9.4
34,16.6,9.4
35,16.6,9.4
36,16.6,9.4
37,16.6,9.4
38,16.6,9.4
39,16.6,9.4
40,16.6,9.4
41,16.6,9.4
42,16.6,9.4
43,16.6,9.4
44,16.6,9.4
45,16.6,9.4
46,16.6,9.4
47,16.6,9.4
48,16.6,9.4
49,16.6,9.4
50,16.6,9.4
51,16.6,9.4
52,16.6,9.4
53,16.6,9.4
54,16.6,9.4
55,16.6,9.4
56,16.6,9.4
57,16.6,9.4
58,16.6,9.4
59,16.6,9.4
60,16.6,9.4
61,16.6,9.4
62,16.6,9.4
63,16.6,9.4
64,16.6,9.4
65,16.6,9.4
66,16.6,9.4
67,16.6,9.4
68,16.6,9.4
69,16.6,9.4
70,16.6,9.4
71,16.6,9.4
72,16.6,9.4
73,16.6,9.4
74,16.6,9.4
75,16.6,9.4
76,16.6,9.4
77,16.6,9.4
78,16.6,9.4
79,16.6,9.4
80,16.6,9.4
81,16.6,9.4
82,16.6,9.4
83,16.6,9.4
84,16.6,9.4
85,16.6,9.4
86,16.6,9.4
87,16.6,9.4
88,16.6,9.4
89,16.6,9.4
90,16.6,9.4
91,16.6,9.4
92,16.6,9.4
93,16.6,9.4
94,16.6,9.4
95,16.6,9.4
96,16.6,9.4
97,16.6,9.4
98,16.6,9.4
99,16.6,9.4
100,16.6,9.4
